Done pre-test: 324 kws , 17506 clickthroughs , 158175 lines
Done loading data : (17507, 331) (17507,)
Importing models
Training and testing models
Running <class 'sklearn.svm.classes.SVC'>
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
7.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
1.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
2.000 - 2.000
0.000 - 0.000
0.000 - 0.000
2.000 - 0.000
0.000 - 0.000
0.000 - 0.000
7.000 - 0.000
20.000 - 0.000
2.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
2.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 1.000
2.000 - 2.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
1.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
20.000 - 0.000
0.000 - 0.000
20.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
20.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
5.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
7.000 - 7.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 7.000
0.000 - 10.000
0.000 - 0.000
13.000 - 0.000
0.000 - 0.000
10.000 - 2.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
4.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
3.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
5.000 - 0.000
0.000 - 0.000
4.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
1.000 - 1.000
0.000 - 0.000
0.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
1.000 - 0.000
0.000 - 0.000
0.000 - 20.000
5.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 20.000
0.000 - 0.000
0.000 - 0.000
1.000 - 0.000
1.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 5.000
10.000 - 5.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
1.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
1.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
1.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
2.000 - 1.000
2.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 7.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 4.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 5.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
4.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 10.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 7.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 5.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 5.000
0.000 - 0.000
0.000 - 5.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
1.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 4.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 3.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 7.000
0.000 - 0.000
0.000 - 7.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
1.000 - 1.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
5.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
2.000 - 2.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
2.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
7.000 - 0.000
2.000 - 1.000
7.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
20.000 - 0.000
2.000 - 1.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
3.000 - 0.000
0.000 - 0.000
2.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 10.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
10.000 - 0.000
20.000 - 20.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
5.000 - 0.000
3.000 - 0.000
20.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 10.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
20.000 - 0.000
4.000 - 4.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
20.000 - 0.000
4.000 - 10.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
6.000 - 6.000
0.000 - 2.000
0.000 - 0.000
0.000 - 0.000
10.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
5.000 - 0.000
0.000 - 0.000
0.000 - 0.000
2.000 - 7.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
4.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 10.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
20.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 0.000
0.000 - 20.000
0.000 - 0.000
0.000 - 0.000
